Numero de processo,Orgaos de Fomento,Tipo,Ano inicio,Ano fim,Inicio,Fim,Edital,Titulo do Projeto,Valor Pedido,Valor Captado
 E-26/010.001536/2015,FAPERJ,Aux&iacute;lio Instala&ccedil;&atilde;o,2014,2015,11/10/15,11/9/16,INST - Aux&iacute;lio instala&ccedil;&atilde;o,Escoamentos Multif&aacute;sicos para Arrefecimento de Componentes Eletr&ocirc;nicos,11.965.50,"8.570,40"
E-26/010.002.089/2015,FAPERJ,Aux&iacute;lio &agrave; Pesquisa B&aacute;sica,2015,2016,12/18/15,12/17/16,APQ1 - Aux&iacute;lio &agrave; pesquisa b&aacute;sica 2015/02,Simula&ccedil;&atilde;o de Sistemas Biol&oacute;gicos em Malhas Din&acirc;micas,"27.997,73","19.997,73"
0,UERJ,CATEDRAS FRANCESAS - UERJ,2015,2015,10/1/15,12/31/15,C&aacute;tedras Francesas na UERJ,Rising Bubbles in Cylindrical and Conical Vertical Tubes,"23.7000,00","23.700,00"
294905,Europe_Union,Marie-Curie,2015,2015,3/1/15,3/30/16,Marie-Curie,Thermal Management of High Power Microsystems Using Multiphase Flows,"60.000,00","60.000,00"
E-26/000.000.000/2016,FAPERJ,Bolsa de Inova&ccedil;&atilde;o Tecnol&oacute;gica,2016,2017,8/26/16,8/25/17,INT - Bolsa de Inova&ccedil;&atilde;o Tecnol&oacute;gica 2016/01,Redu&ccedil;&atilde;o de custos operacionais e ambientais em sistema de gera&ccedil;&atilde;o termoel&eacute;trica,"19.200,00","19.200,00"
E-26/203.244/2016,FAPERJ,Programa Jovem Cientista do Nosso Estado,2016,2019,1/10/16,30/09/2019,JCNE - Jovem Cientista do Nosso Estado 2016,Sistema de Alto Desempenho de Simula&ccedil;&atilde;o de Escoamentos Multif&aacute;sicos em Geometrias Complexas,"75.600,00","75.600,00"
E-26/010.001642/2016,FAPERJ,Apoio a Grupos Emergentes,2016,2018,1/10/16,30/09/2018,Apoio a Grupos Emergentes de Pesquisa no Estado do Rio de Janeiro 2016,Sistema Multif&aacute;sico de Arrefecimento de Componentes Eletr&ocirc;nicos,"249.927,90","162.795,90"
